product_id,product_name,data_price,image_link,description,href,category
s99319099,FINNALA,1599.00,https://www.ikea.com/us/en/images/products/finnala-sofa-with-chaise-gunnared-beige__0514360_pe639436_s5.jpg?f=xxs,Sofa,https://www.ikea.com/us/en/p/finnala-sofa-with-chaise-gunnared-beige-s99319099/,sofas-sectionals-fu003
s39440593,KIVIK,749.00,https://www.ikea.com/us/en/images/products/kivik-sofa-tibbleby-beige-gray__1056144_pe848277_s5.jpg?f=xxs,Sofa,https://www.ikea.com/us/en/p/kivik-sofa-tibbleby-beige-gray-s39440593/,sofas-sectionals-fu003
50556285,GAMMALBYN,349.00,https://www.ikea.com/us/en/images/products/gammalbyn-sofa-beige__0868906_pe781416_s5.jpg?f=xxs,Sofa,https://www.ikea.com/us/en/p/gammalbyn-sofa-beige-50556285/,sofas-sectionals-fu003
s19384116,UPPLAND,849.00,https://www.ikea.com/us/en/images/products/uppland-sofa-blekinge-white__0818565_pe774487_s5.jpg?f=xxs,Sofa,https://www.ikea.com/us/en/p/uppland-sofa-blekinge-white-s19384116/,sofas-sectionals-fu003
s79440586,KIVIK,1149.00,https://www.ikea.com/us/en/images/products/kivik-sofa-with-chaise-tibbleby-beige-gray__1056147_pe848280_s5.jpg?f=xxs,Sofa with chaise,https://www.ikea.com/us/en/p/kivik-sofa-with-chaise-tibbleby-beige-gray-s79440586/,sofas-sectionals-fu003
70512243,LINANÄS,399.00,https://www.ikea.com/us/en/images/products/linanaes-sofa-with-chaise-vissle-dark-gray__1013908_pe829460_s5.jpg?f=xxs,Sofa,https://www.ikea.com/us/en/p/linanaes-sofa-with-chaise-vissle-dark-gray-70512243/,sofas-sectionals-fu003
s89318321,MORABO,699.00,https://www.ikea.com/us/en/images/products/morabo-sofa-gunnared-dark-gray-wood__0602117_pe680186_s5.jpg?f=xxs,Sofa,https://www.ikea.com/us/en/p/morabo-sofa-gunnared-dark-gray-wood-s89318321/,sofas-sectionals-fu003
80512247,LINANÄS,299.00,https://www.ikea.com/us/en/images/products/linanaes-sofa-vissle-dark-gray__1013898_pe829450_s5.jpg?f=xxs,Sofa,https://www.ikea.com/us/en/p/linanaes-sofa-vissle-dark-gray-80512247/,sofas-sectionals-fu003
s89482868,KIVIK,1599.00,https://www.ikea.com/us/en/images/products/kivik-sectional-5-seat-corner-tresund-light-beige__1124072_pe874989_s5.jpg?f=xxs,"Sectional, 5-seat corner",https://www.ikea.com/us/en/p/kivik-sectional-5-seat-corner-tresund-light-beige-s89482868/,sofas-sectionals-fu003
s69489639,HYLTARP,1049.00,https://www.ikea.com/us/en/images/products/hyltarp-sofa-gransel-natural__1193814_pe901641_s5.jpg?f=xxs,Sofa,https://www.ikea.com/us/en/p/hyltarp-sofa-gransel-natural-s69489639/,sofas-sectionals-fu003
s89485131,JÄTTEBO,1600.00,https://www.ikea.com/us/en/images/products/jaettebo-sectional-3-seat-samsala-dark-yellow-green__1109636_pe870121_s5.jpg?f=xxs,"Sectional, 3-seat",https://www.ikea.com/us/en/p/jaettebo-sectional-3-seat-samsala-dark-yellow-green-s89485131/,sofas-sectionals-fu003
s09389402,PÄRUP,799.00,https://www.ikea.com/us/en/images/products/paerup-sectional-4-seat-corner-vissle-gray__0982931_pe815817_s5.jpg?f=xxs,"Sectional, 4-seat corner",https://www.ikea.com/us/en/p/paerup-sectional-4-seat-corner-vissle-gray-s09389402/,sofas-sectionals-fu003
s99449699,SÖDERHAMN,579.00,https://www.ikea.com/us/en/images/products/soederhamn-sofa-with-open-end-fridtuna-light-beige__1057780_pe848970_s5.jpg?f=xxs,Sofa,https://www.ikea.com/us/en/p/soederhamn-sofa-with-open-end-fridtuna-light-beige-s99449699/,sofas-sectionals-fu003
70489011,GLOSTAD,149.00,https://www.ikea.com/us/en/images/products/glostad-loveseat-knisa-dark-gray__0950864_pe800736_s5.jpg?f=xxs,Loveseat,https://www.ikea.com/us/en/p/glostad-loveseat-knisa-dark-gray-70489011/,sofas-sectionals-fu003
s49319214,FINNALA,1699.00,https://www.ikea.com/us/en/images/products/finnala-sectional-4-seat-with-chaise-gunnared-beige__0514363_pe639433_s5.jpg?f=xxs,"Sectional, 4-seat",https://www.ikea.com/us/en/p/finnala-sectional-4-seat-with-chaise-gunnared-beige-s49319214/,sofas-sectionals-fu003
s09010617,KLIPPAN,299.00,https://www.ikea.com/us/en/images/products/klippan-loveseat-vissle-gray__0239990_pe379591_s5.jpg?f=xxs,Loveseat,https://www.ikea.com/us/en/p/klippan-loveseat-vissle-gray-s09010617/,sofas-sectionals-fu003
s39575884,MORABO,999.00,https://www.ikea.com/us/en/images/products/morabo-sofa-with-chaise-gunnared-dark-gray-wood__0602368_pe680306_s5.jpg?f=xxs,Sofa with chaise,https://www.ikea.com/us/en/p/morabo-sofa-with-chaise-gunnared-dark-gray-wood-s39575884/,sofas-sectionals-fu003
s19389468,PÄRUP,499.00,https://www.ikea.com/us/en/images/products/paerup-sofa-vissle-gray__1041907_pe841187_s5.jpg?f=xxs,Sofa,https://www.ikea.com/us/en/p/paerup-sofa-vissle-gray-s19389468/,sofas-sectionals-fu003
s49384110,UPPLAND,1599.00,https://www.ikea.com/us/en/images/products/uppland-sectional-4-seat-corner-blekinge-white__0818591_pe774513_s5.jpg?f=xxs,"Sectional, 4-seat corner",https://www.ikea.com/us/en/p/uppland-sectional-4-seat-corner-blekinge-white-s49384110/,sofas-sectionals-fu003
00512246,LINANÄS,249.00,https://www.ikea.com/us/en/images/products/linanaes-loveseat-vissle-dark-gray__0962404_pe808061_s5.jpg?f=xxs,Loveseat,https://www.ikea.com/us/en/p/linanaes-loveseat-vissle-dark-gray-00512246/,sofas-sectionals-fu003
s49319266,FINNALA,2849.00,https://www.ikea.com/us/en/images/products/finnala-sectional-5-seat-corner-with-chaise-gunnared-beige__0514336_pe639416_s5.jpg?f=xxs,"Sectional, 5-seat corner",https://www.ikea.com/us/en/p/finnala-sectional-5-seat-corner-with-chaise-gunnared-beige-s49319266/,sofas-sectionals-fu003
s79389842,PÄRUP,699.00,https://www.ikea.com/us/en/images/products/paerup-sofa-with-chaise-vissle-gray__1041911_pe841191_s5.jpg?f=xxs,Sofa with chaise,https://www.ikea.com/us/en/p/paerup-sofa-with-chaise-vissle-gray-s79389842/,sofas-sectionals-fu003
s29502299,SÖDERHAMN,1179.00,https://www.ikea.com/us/en/images/products/soederhamn-sectional-4-seat-with-chaise-fridtuna-light-beige__1154124_pe885938_s5.jpg?f=xxs,"Sectional, 4-seat with chaise",https://www.ikea.com/us/en/p/soederhamn-sectional-4-seat-with-chaise-fridtuna-light-beige-s29502299/,sofas-sectionals-fu003
s69469491,JÄTTEBO,1650.00,https://www.ikea.com/us/en/images/products/jaettebo-2-5-seat-mod-sofa-w-chaise-left-samsala-dark-yellow-green__1109585_pe870075_s5.jpg?f=xxs,2.5-seat mod sofa w chaise,https://www.ikea.com/us/en/p/jaettebo-2-5-seat-mod-sofa-w-chaise-left-samsala-dark-yellow-green-s69469491/,sofas-sectionals-fu003
s19319060,FINNALA,1149.00,https://www.ikea.com/us/en/images/products/finnala-sofa-gunnared-beige__0514366_pe639439_s5.jpg?f=xxs,Sofa,https://www.ikea.com/us/en/p/finnala-sofa-gunnared-beige-s19319060/,sofas-sectionals-fu003
s69494382,KIVIK,1349.00,https://www.ikea.com/us/en/images/products/kivik-sectional-4-seat-with-chaise-tresund-anthracite__1125143_pe875382_s5.jpg?f=xxs,"Sectional, 4-seat with chaise",https://www.ikea.com/us/en/p/kivik-sectional-4-seat-with-chaise-tresund-anthracite-s69494382/,sofas-sectionals-fu003
s69384114,UPPLAND,749.00,https://www.ikea.com/us/en/images/products/uppland-loveseat-blekinge-white__0818535_pe774466_s5.jpg?f=xxs,Loveseat,https://www.ikea.com/us/en/p/uppland-loveseat-blekinge-white-s69384114/,sofas-sectionals-fu003
s59485203,JÄTTEBO,2450.00,https://www.ikea.com/us/en/images/products/jaettebo-4-seat-mod-sofa-w-chaise-right-samsala-dark-yellow-green__1109638_pe870128_s5.jpg?f=xxs,4-seat mod sofa w chaise,https://www.ikea.com/us/en/p/jaettebo-4-seat-mod-sofa-w-chaise-right-samsala-dark-yellow-green-s59485203/,sofas-sectionals-fu003
